trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
150,False,"{'a': 0.9, 'e': 4.4444444444444447e-05}",20,7,24.546691706270337,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
151,False,"{'a': 0.9, 'e': 4.385772553835358e-05}",25,8,27.75775297949839,"{0: 17, 1: 0, 2: 0, 3: 0, 4: 0}",1
152,False,"{'a': 0.9, 'e': 4.3282548476454294e-05}",25,11,21.422577002560875,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
153,False,"{'a': 0.9, 'e': 4.2718612499466016e-05}",25,1,1.3329182297731363,"{0: 23, 1: 0, 2: 0, 3: 0, 4: 1}",1
154,False,"{'a': 0.9, 'e': 4.2165626581210996e-05}",25,17,15.547451458092684,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
155,False,"{'a': 0.9, 'e': 4.162330905306972e-05}",25,0,39.0988251613067,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
156,False,"{'a': 0.9, 'e': 4.10913872452334e-05}",20,0,27.128995976545834,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
157,False,"{'a': 0.9, 'e': 4.056959714390036e-05}",20,10,-14.975634374184484,"{0: 8, 1: 0, 2: 1, 3: 1, 4: 0}",1
158,False,"{'a': 0.9, 'e': 4.00576830636116e-05}",20,12,15.184185700065562,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
159,False,"{'a': 0.9, 'e': 3.955539733396622e-05}",30,20,16.715253991691526,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
160,False,"{'a': 0.9, 'e': 3.90625e-05}",20,8,21.195076974769528,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
161,False,"{'a': 0.9, 'e': 3.8578758535550326e-05}",25,11,24.089204635372962,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
162,False,"{'a': 0.9, 'e': 3.8103947568968146e-05}",25,16,14.323433355543681,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
163,False,"{'a': 0.9, 'e': 3.7637848620572846e-05}",20,8,19.96853598244588,"{0: 12, 1: 0, 2: 0, 3: 0, 4: 0}",1
164,False,"{'a': 0.9, 'e': 3.7180249851279e-05}",20,13,9.045809656578134,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
165,False,"{'a': 0.9, 'e': 3.6730945821854914e-05}",25,15,17.40181169029539,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
166,False,"{'a': 0.9, 'e': 3.628973726230222e-05}",20,14,11.158874781955255,"{0: 6, 1: 0, 2: 0, 3: 0, 4: 0}",1
